Submitted,ElapsedTime,Attempt,ItemID,ItemType,What times would work best with your schedule/are most likely for you to attend? Select all that work. ,EarnedPoints,Status,NumberOfCorrect,NumberOfIncorrect,NoResponse,PointsPossible,OverallScore
2026-01-09 19:51:35 UTC,0:00:16,1,426733,multi-answer,"2:00-3:00pm on Monday,3:00-4:00pm on Tuesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-07 20:11:16 UTC,0:00:27,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-07 20:14:29 UTC,0:01:35,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-07 20:14:45 UTC,0:01:14,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-07 20:16:48 UTC,0:00:25,1,426733,multi-answer,"4:00-5:00pm on Wednesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-07 21:10:02 UTC,0:00:17,1,426733,multi-answer,"2:00-3:00pm on Monday,4:00-5:00pm on Wednesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-07 21:24:35 UTC,0:00:40,1,426733,multi-answer,"4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-07 21:45:00 UTC,0:01:10,1,426733,multi-answer,"2:00-3:00pm on Monday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-07 21:45:43 UTC,0:00:20,1,426733,multi-answer,2:00-3:00pm on Friday,0,Graded,0,1,0,0,0
2026-01-07 21:50:32 UTC,0:00:48,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-07 22:02:46 UTC,0:00:35,1,426733,multi-answer,"2:00-3:00pm on Monday,3:00-4:00pm on Tuesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-09 01:43:52 UTC,0:00:37,1,426733,multi-answer,"2:00-3:00pm on Monday,4:00-5:00pm on Wednesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-09 09:02:30 UTC,0:00:23,1,426733,multi-answer,"3:00-4:00pm on Tuesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-08 22:36:38 UTC,0:00:43,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday",0,Graded,0,1,0,0,0
2026-01-08 23:20:15 UTC,0:00:27,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-09 05:08:34 UTC,0:01:54,1,426733,multi-answer,4:00-5:00pm on Wednesday,0,Graded,0,1,0,0,0
2026-01-09 17:01:07 UTC,0:00:10,1,426733,multi-answer,2:00-3:00pm on Friday,0,Graded,0,1,0,0,0
2026-01-09 18:29:45 UTC,0:00:45,1,426733,multi-answer,4:00-5:00pm on Wednesday,0,Graded,0,1,0,0,0
2026-01-09 06:48:31 UTC,0:02:16,1,426733,multi-answer,"4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-09 04:36:35 UTC,0:00:33,1,426733,multi-answer,3:00-4:00pm on Tuesday,0,Graded,0,1,0,0,0
2026-01-09 19:46:12 UTC,0:00:56,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-09 18:42:29 UTC,0:00:31,1,426733,multi-answer,4:00-5:00pm on Wednesday,0,Graded,0,1,0,0,0
2026-01-08 21:42:26 UTC,0:00:22,1,426733,multi-answer,2:00-3:00pm on Monday,0,Graded,0,1,0,0,0
2026-01-09 05:59:34 UTC,0:00:35,1,426733,multi-answer,"4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-08 21:05:37 UTC,0:00:34,1,426733,multi-answer,"2:00-3:00pm on Monday,3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,1,0,0,0,0
2026-01-09 18:31:26 UTC,0:00:50,1,426733,multi-answer,2:00-3:00pm on Monday,0,Graded,0,1,0,0,0
2026-01-08 18:00:28 UTC,0:00:36,1,426733,multi-answer,"2:00-3:00pm on Monday,3:00-4:00pm on Tuesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-08 19:41:21 UTC,0:00:39,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-08 20:25:18 UTC,0:00:27,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-09 18:14:15 UTC,0:00:30,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-08 23:52:01 UTC,0:00:28,1,426733,multi-answer,"6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-09 01:09:47 UTC,0:00:28,1,426733,multi-answer,"2:00-3:00pm on Monday,4:00-5:00pm on Wednesday",0,Graded,0,1,0,0,0
2026-01-09 01:48:13 UTC,0:01:00,1,426733,multi-answer,"2:00-3:00pm on Monday,3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,1,0,0,0,0
2026-01-09 02:05:17 UTC,0:00:23,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-09 02:22:24 UTC,0:00:33,1,426733,multi-answer,2:00-3:00pm on Monday,0,Graded,0,1,0,0,0
2026-01-09 02:49:24 UTC,0:00:21,1,426733,multi-answer,"3:00-4:00pm on Tuesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-09 04:28:45 UTC,0:05:09,1,426733,multi-answer,3:00-4:00pm on Tuesday,0,Graded,0,1,0,0,0
2026-01-09 06:16:10 UTC,0:00:27,1,426733,multi-answer,"2:00-3:00pm on Monday,3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,1,0,0,0,0
2026-01-09 11:48:05 UTC,0:01:04,1,426733,multi-answer,4:00-5:00pm on Wednesday,0,Graded,0,1,0,0,0
2026-01-09 17:02:15 UTC,0:00:22,1,426733,multi-answer,"4:00-5:00pm on Wednesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-09 17:25:27 UTC,0:00:24,1,426733,multi-answer,"2:00-3:00pm on Monday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
